,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-05-4244-01A,-9.265668348329672,-3.3826475332109043,5.0360331469621675,6.77293918878671,-7.681605084503114,-1.970271269184729,-9.300934370628028
TCGA-91-6829-01A,-3.7891744616958847,-4.477065489031842,-4.229708021722768,-5.1317106336594245,13.926820919649542,-5.372909341441651,-1.6629003827992055
TCGA-97-7552-01A,12.556006424340186,8.772769472046466,-5.366149400915115,-3.480611577195772,2.118900171921439,21.546386232474138,22.302021654302123
TCGA-67-6217-01A,3.998179576268935,2.2109516854082694,3.686887064633853,5.299518128403199,-0.887457360785742,2.9787528161745214,15.286129696713903
TCGA-55-7911-01A,1.4579302011591018,4.1534900169945175,4.1156261779140415,5.5579060895140024,-6.82126783406528,9.364619866453696,-15.890408153840102
TCGA-L9-A50W-01A,0.6302258452062366,-0.9321377763903251,4.1827665609618405,4.1405513443783795,-3.9546371423581475,-8.672671430791132,2.7192630573723435
TCGA-49-6742-11A,-4.052933426143407,-6.440357883403137,-8.480595670337985,-5.628566088152161,1.7845621163477998,7.0374777338743675,39.57183788718462
TCGA-62-8398-01A,-3.2471543804339023,-0.20098826514251192,0.7399746855716772,-0.8349531565390031,0.2365693162644425,-5.9728481756790615,-19.128007915143165
TCGA-75-6205-01A,5.612034059508258,5.881244242585839,-3.4334289313878568,-2.8135622196916117,3.7574686293951083,28.09694377013768,-8.405867864077754
TCGA-91-6835-11A,-6.883587002347923,-2.7896506845694087,-0.523058706418147,3.8905626732711407,9.649386896619621,6.003988413835396,44.6326446606367
TCGA-55-8089-01A,8.574037195017135,7.8571945663525415,-2.3595277521935634,-2.166980300100109,0.3161612462023674,25.794780932081057,-11.3896571942234
TCGA-44-6777-01A,10.23063087958514,4.615949546585272,-9.943795277285753,-9.776938133845428,11.973552267885237,21.820435588468193,7.761027867155526
TCGA-75-6203-01A,-2.4773222502621053,-1.602419446295414,-7.636142313508754,-5.185934444793835,0.9210949612980256,21.562601220627926,31.603907706374084
TCGA-83-5908-01A,-4.54748774697052,4.446608432615434,2.671299578892951,1.8900488009712013,0.2350146027621327,15.87721009926645,-23.126722588637094
TCGA-38-4626-01A,-9.159606986815236,-3.958590740353646,-1.0010509792822448,0.39087715302056764,5.004759853777595,15.740603912219576,25.18913163563723
TCGA-44-2666-01A,1.2518760775663118,-3.375935209255958,0.7105548671949363,2.0058286782583203,-3.554125436256137,-14.096259689728136,7.926353213125804
TCGA-64-1678-01A,1.1377400219976743,-5.372613458579473,-1.794295926026808,-3.549469650965193,-12.998982506454023,-42.88774858922597,-42.11385117533546
TCGA-55-6984-01A,-0.2509073983865135,-1.2490627143476571,-0.7827601625305712,-1.4434220180473223,-5.160867202278318,-19.29281558034059,-9.855168455129327
TCGA-55-7570-01A,3.39472398417681,-1.1268844861411378,3.828524393625391,0.6674490184368116,-0.3623123412476741,-26.88309916327844,-30.878097023288234
TCGA-55-6543-01A,0.9130905356667258,-2.5763762868173408,-4.358585552702145,-1.6947678690979797,-2.567276903627353,1.42057546279418,6.728099095897768
TCGA-44-2665-11A,-13.143275085967375,-5.608925961215867,-6.4445872310067225,-3.7575541868655264,10.222982137750284,13.971585033847425,45.20663041968703
TCGA-93-7347-01A,6.159641789273887,5.86094712770119,-2.8481138412546767,0.00047047872767099256,3.1709944791159104,18.615556498577224,10.535583072547546
TCGA-MP-A4TI-01A,-1.857183553604755,7.038542722973424,4.493348226532398,4.910955048441661,5.190456258203069,29.11326019650488,-8.893672411656148
TCGA-91-A4BC-01A,16.20412414049738,8.716898578148665,8.050793127736057,6.411083474658274,7.059085909556107,12.942538544645936,-14.701665374130135
TCGA-97-A4M0-01A,-6.535459884834579,1.1135177492909025,7.80865080255376,8.725178128537028,-7.654116994913227,8.88477697820902,0.09931543511123533
TCGA-67-6215-01A,-10.072820849901335,-6.106225449000065,0.5704942713137496,1.562648315412311,-11.25534717623516,-10.37872487461674,-7.788922675490998
TCGA-78-7220-01A,-12.64458456840388,-5.965120117134932,-1.4198885602633826,-2.061004346928725,-5.980667745689425,-23.4631804252715,-21.990401287552608
TCGA-05-5715-01A,-4.912388453431854,-4.807141933819204,-7.827117788927935,-10.174481720380976,0.8323637347156178,-2.6757695457289987,-3.945078070669088
TCGA-4B-A93V-01A,10.197942036772075,0.9828258291302268,6.133671147878213,1.5435585100322133,-10.266439510158426,-20.89271682083619,-27.88243457031035
TCGA-78-7167-01A,-8.760353415648586,-6.7763997281456065,5.924904637545627,5.715879497557524,-5.019603833127773,-31.202231226951337,7.532657379532434
TCGA-75-7030-01A,9.979306614346239,2.5162412095524718,-4.506526611980095,-3.1661109365926,10.403833498303962,0.6415121381691818,26.210789053175873
TCGA-50-5936-01A,1.1716716760597128,-0.09526356017654873,-4.294773765440845,-5.5573946584909155,4.087887538120904,-5.763556064966335,-12.784303388112
TCGA-44-5645-11A,-6.7906080829173945,-3.3627452335826438,-4.1926063983579835,-0.5440243932190993,7.670067553502343,18.340154391147102,54.281301163687885
TCGA-55-6984-11A,-12.929711540240392,-6.394360672546964,-2.75729177407477,1.5153867096883304,1.1208170913528777,12.374658040626473,47.01649366452933
TCGA-62-A46O-01A,-2.2287695215913854,-6.542191445196452,5.363180472383106,4.968541892663855,-12.016410385235364,-43.84821766053465,-36.2416610734058
